day,population,activities,time,time_in_minutes
Year 2014_Monday til Friday,All, Travel related to sports,0:35,35
Year 2014_Monday til Friday,All, Travel related to changing locality,1:02,62
Year 2014_Monday til Friday,Male,Personal care,11:00,660
Year 2014_Monday til Friday,Male,Sleep,8:24,504
Year 2014_Monday til Friday,Male,Eating,1:46,106
Year 2014_Monday til Friday,Male,Other personal care,0:52,52
Year 2014_Monday til Friday,Male,Employment,8:11,491
Year 2014_Monday til Friday,Male, Main job,8:20,500
Year 2014_Monday til Friday,Male, Job seeking,3:10,190
Year 2014_Monday til Friday,Male, Second job,4:17,257
Year 2014_Monday til Friday,Male,Study,6:39,399
Year 2014_Monday til Friday,Male, School or university,5:53,353
Year 2014_Monday til Friday,Male, Homework,2:12,132
Year 2014_Monday til Friday,Male, Free time study,1:25,85
Year 2014_Monday til Friday,Male,Household and family care,1:59,119
Year 2014_Monday til Friday,Male, Food management,0:43,43
Year 2014_Monday til Friday,Male, Household upkeep,0:55,55
Year 2014_Monday til Friday,Male, Making and care for textiles,0:27,27
Year 2014_Monday til Friday,Male, Gardening and pet care,1:13,73
Year 2014_Monday til Friday,Male, Construction and repairs,1:58,118
Year 2014_Monday til Friday,Male, Shopping and services (excluding online services),1:00,60
Year 2014_Monday til Friday,Male, Household management (excluding online services),0:40,40
Year 2014_Monday til Friday,Male, Childcare (less than 17 years) ,1:17,77
Year 2014_Monday til Friday,Male, Help to an adult household member ,1:58,118
Year 2014_Monday til Friday,Male,Voluntary work and meetings,2:19,139
Year 2014_Monday til Friday,Male, Organisational work ,2:10,130
Year 2014_Monday til Friday,Male, Informal help to other households,2:15,135
Year 2014_Monday til Friday,Male,Participatory activities,2:06,126
Year 2014_Monday til Friday,Male,Social life and entertainment  ,1:08,68
Year 2014_Monday til Friday,Male, Sociability,0:35,35
Year 2014_Monday til Friday,Male, Visiting and receiving visitors,1:21,81
Year 2014_Monday til Friday,Male, Culture,2:09,129
Year 2014_Monday til Friday,Male, Entertainment ,1:49,109
Year 2014_Monday til Friday,Male, Resting — Time out,0:31,31
Year 2014_Monday til Friday,Male,Sports and outdoor activities ,1:53,113
Year 2014_Monday til Friday,Male, Sports,1:49,109
Year 2014_Monday til Friday,Male,Outdoor activities ,4:40,280
Year 2014_Monday til Friday,Male,Hobbies and games,1:42,102
Year 2014_Monday til Friday,Male, Arts,1:35,95
Year 2014_Monday til Friday,Male, Collecting,0:50,50
Year 2014_Monday til Friday,Male, Computing,1:28,88
Year 2014_Monday til Friday,Male, Games,1:39,99
Year 2014_Monday til Friday,Male,Media,2:37,157
Year 2014_Monday til Friday,Male, Reading,0:58,58
Year 2014_Monday til Friday,Male," TV, video and dvd",2:26,146
Year 2014_Monday til Friday,Male," Listening to radio, music",0:39,39
Year 2014_Monday til Friday,Male,Travel,1:36,96
Year 2014_Monday til Friday,Male, Travel related to eating,0:30,30
Year 2014_Monday til Friday,Male, Travel to/from work,1:07,67
Year 2014_Monday til Friday,Male, Travel related to study,1:09,69
Year 2014_Monday til Friday,Male, Travel related to household care,0:50,50
Year 2014_Monday til Friday,Male, Travel related to voluntary work and meetings ,0:45,45
Year 2014_Monday til Friday,Male, Travel related to social life,0:58,58
Year 2014_Monday til Friday,Male, Travel related to sports,0:38,38
Year 2014_Monday til Friday,Male, Travel related to changing locality,0:13,13
Year 2014_Monday til Friday,Female,Personal care,11:15,675
Year 2014_Monday til Friday,Female,Sleep,8:27,507
Year 2014_Monday til Friday,Female,Eating,1:48,108
Year 2014_Monday til Friday,Female,Other personal care,1:01,61
Year 2014_Monday til Friday,Female,Employment,6:54,414
Year 2014_Monday til Friday,Female, Main job,7:03,423
Year 2014_Monday til Friday,Female, Job seeking,1:43,103
Year 2014_Monday til Friday,Female, Second job,4:10,250
Year 2014_Monday til Friday,Female,Study,6:13,373
Year 2014_Monday til Friday,Female, School or university,5:33,333
Year 2014_Monday til Friday,Female, Homework,1:58,118
Year 2014_Monday til Friday,Female, Free time study,1:36,96
Year 2014_Monday til Friday,Female,Household and family care,3:49,229
Year 2014_Monday til Friday,Female, Food management,1:18,78
Year 2014_Monday til Friday,Female, Household upkeep,1:10,70
Year 2014_Monday til Friday,Female, Making and care for textiles,1:02,62
Year 2014_Monday til Friday,Female, Gardening and pet care,1:13,73
Year 2014_Monday til Friday,Female, Construction and repairs,1:23,83
Year 2014_Monday til Friday,Female, Shopping and services (excluding online services),1:12,72
Year 2014_Monday til Friday,Female, Household management (excluding online services),0:44,44
Year 2014_Monday til Friday,Female, Childcare (less than 17 years) ,2:00,120
Year 2014_Monday til Friday,Female, Help to an adult household member ,1:20,80
Year 2014_Monday til Friday,Female,Voluntary work and meetings,2:15,135
Year 2014_Monday til Friday,Female, Organisational work ,2:50,170
Year 2014_Monday til Friday,Female, Informal help to other households,1:49,109
Year 2014_Monday til Friday,Female,Participatory activities,1:55,115
Year 2014_Monday til Friday,Female,Social life and entertainment  ,1:09,69
Year 2014_Monday til Friday,Female, Sociability,0:40,40
Year 2014_Monday til Friday,Female, Visiting and receiving visitors,1:19,79
Year 2014_Monday til Friday,Female, Culture,2:10,130
Year 2014_Monday til Friday,Female, Entertainment ,1:52,112
Year 2014_Monday til Friday,Female, Resting — Time out,0:25,25
Year 2014_Monday til Friday,Female,Sports and outdoor activities ,1:29,89
Year 2014_Monday til Friday,Female, Sports,1:28,88
Year 2014_Monday til Friday,Female,Outdoor activities ,2:09,129
Year 2014_Monday til Friday,Female,Hobbies and games,1:12,72
Year 2014_Monday til Friday,Female, Arts,1:12,72
Year 2014_Monday til Friday,Female, Collecting,,
Year 2014_Monday til Friday,Female, Computing,1:02,62
Year 2014_Monday til Friday,Female, Games,1:06,66
Year 2014_Monday til Friday,Female,Media,2:22,142
Year 2014_Monday til Friday,Female, Reading,0:54,54
Year 2014_Monday til Friday,Female," TV, video and dvd",2:10,130
Year 2014_Monday til Friday,Female," Listening to radio, music",0:36,36
Year 2014_Monday til Friday,Female,Travel,1:42,102
Year 2014_Monday til Friday,Female, Travel related to eating,0:32,32
Year 2014_Monday til Friday,Female, Travel to/from work,1:03,63
Year 2014_Monday til Friday,Female, Travel related to study,1:25,85
Year 2014_Monday til Friday,Female, Travel related to household care,1:00,60
Year 2014_Monday til Friday,Female, Travel related to voluntary work and meetings ,0:52,52
Year 2014_Monday til Friday,Female, Travel related to social life,0:55,55
Year 2014_Monday til Friday,Female, Travel related to sports,0:32,32
Year 2014_Monday til Friday,Female, Travel related to changing locality,1:26,86
Year 2014_Monday til Friday,10 - 19 years,Personal care,11:54,714
Year 2014_Monday til Friday,10 - 19 years,Sleep,9:17,557
Year 2014_Monday til Friday,10 - 19 years,Eating,1:45,105
Year 2014_Monday til Friday,10 - 19 years,Other personal care,0:55,55
Year 2014_Monday til Friday,10 - 19 years,Employment,5:18,318
Year 2014_Monday til Friday,10 - 19 years, Main job,7:27,447
Year 2014_Monday til Friday,10 - 19 years, Job seeking,1:45,105
Year 2014_Monday til Friday,10 - 19 years, Second job,4:57,297
Year 2014_Monday til Friday,10 - 19 years,Study,7:06,426
Year 2014_Monday til Friday,10 - 19 years, School or university,5:44,344
Year 2014_Monday til Friday,10 - 19 years, Homework,1:49,109
Year 2014_Monday til Friday,10 - 19 years, Free time study,1:15,75
Year 2014_Monday til Friday,10 - 19 years,Household and family care,1:01,61
Year 2014_Monday til Friday,10 - 19 years, Food management,0:28,28
Year 2014_Monday til Friday,10 - 19 years, Household upkeep,0:34,34
Year 2014_Monday til Friday,10 - 19 years, Making and care for textiles,0:21,21
Year 2014_Monday til Friday,10 - 19 years, Gardening and pet care,0:37,37
Year 2014_Monday til Friday,10 - 19 years, Construction and repairs,1:55,115
Year 2014_Monday til Friday,10 - 19 years, Shopping and services (excluding online services),1:11,71
Year 2014_Monday til Friday,10 - 19 years, Household management (excluding online services),0:29,29
Year 2014_Monday til Friday,10 - 19 years, Childcare (less than 17 years) ,1:20,80
Year 2014_Monday til Friday,10 - 19 years, Help to an adult household member ,2:00,120
Year 2014_Monday til Friday,10 - 19 years,Voluntary work and meetings,1:45,105
Year 2014_Monday til Friday,10 - 19 years, Organisational work ,2:10,130
Year 2014_Monday til Friday,10 - 19 years, Informal help to other households,0:40,40
Year 2014_Monday til Friday,10 - 19 years,Participatory activities,1:40,100
Year 2014_Monday til Friday,10 - 19 years,Social life and entertainment  ,1:09,69
Year 2014_Monday til Friday,10 - 19 years, Sociability,0:34,34
Year 2014_Monday til Friday,10 - 19 years, Visiting and receiving visitors,1:58,118
Year 2014_Monday til Friday,10 - 19 years, Culture,2:26,146
Year 2014_Monday til Friday,10 - 19 years, Entertainment ,2:58,178
Year 2014_Monday til Friday,10 - 19 years, Resting — Time out,0:24,24
Year 2014_Monday til Friday,10 - 19 years,Sports and outdoor activities ,2:00,120
Year 2014_Monday til Friday,10 - 19 years, Sports,2:00,120
Year 2014_Monday til Friday,10 - 19 years,Outdoor activities ,2:10,130
Year 2014_Monday til Friday,10 - 19 years,Hobbies and games,1:52,112
Year 2014_Monday til Friday,10 - 19 years, Arts,1:01,61
Year 2014_Monday til Friday,10 - 19 years, Collecting,,
Year 2014_Monday til Friday,10 - 19 years, Computing,1:23,83
Year 2014_Monday til Friday,10 - 19 years, Games,1:53,113
Year 2014_Monday til Friday,10 - 19 years,Media,2:16,136
Year 2014_Monday til Friday,10 - 19 years, Reading,0:47,47
Year 2014_Monday til Friday,10 - 19 years," TV, video and dvd",2:10,130
Year 2014_Monday til Friday,10 - 19 years," Listening to radio, music",1:12,72
Year 2014_Monday til Friday,10 - 19 years,Travel,1:42,102
Year 2014_Monday til Friday,10 - 19 years, Travel related to eating,0:35,35
Year 2014_Monday til Friday,10 - 19 years, Travel to/from work,0:58,58
Year 2014_Monday til Friday,10 - 19 years, Travel related to study,1:19,79
Year 2014_Monday til Friday,10 - 19 years, Travel related to household care,0:58,58
Year 2014_Monday til Friday,10 - 19 years, Travel related to voluntary work and meetings ,0:20,20
Year 2014_Monday til Friday,10 - 19 years, Travel related to social life,0:51,51
Year 2014_Monday til Friday,10 - 19 years, Travel related to sports,0:38,38
Year 2014_Monday til Friday,10 - 19 years, Travel related to changing locality,1:23,83
Year 2014_Monday til Friday,20 - 29 years,Personal care,11:09,669
Year 2014_Monday til Friday,20 - 29 years,Sleep,8:34,514
Year 2014_Monday til Friday,20 - 29 years,Eating,1:36,96
Year 2014_Monday til Friday,20 - 29 years,Other personal care,1:00,60
Year 2014_Monday til Friday,20 - 29 years,Employment,7:50,470
Year 2014_Monday til Friday,20 - 29 years, Main job,8:00,480
Year 2014_Monday til Friday,20 - 29 years, Job seeking,1:38,98
Year 2014_Monday til Friday,20 - 29 years, Second job,4:07,247
Year 2014_Monday til Friday,20 - 29 years,Study,6:07,367
Year 2014_Monday til Friday,20 - 29 years, School or university,5:47,347
Year 2014_Monday til Friday,20 - 29 years, Homework,3:12,192
Year 2014_Monday til Friday,20 - 29 years, Free time study,1:40,100
Year 2014_Monday til Friday,20 - 29 years,Household and family care,2:16,136
Year 2014_Monday til Friday,20 - 29 years, Food management,0:59,59
Year 2014_Monday til Friday,20 - 29 years, Household upkeep,1:02,62
Year 2014_Monday til Friday,20 - 29 years, Making and care for textiles,0:37,37
Year 2014_Monday til Friday,20 - 29 years, Gardening and pet care,0:59,59
Year 2014_Monday til Friday,20 - 29 years, Construction and repairs,4:31,271
Year 2014_Monday til Friday,20 - 29 years, Shopping and services (excluding online services),0:58,58
Year 2014_Monday til Friday,20 - 29 years, Household management (excluding online services),0:25,25
Year 2014_Monday til Friday,20 - 29 years, Childcare (less than 17 years) ,2:15,135
Year 2014_Monday til Friday,20 - 29 years, Help to an adult household member ,1:52,112
Year 2014_Monday til Friday,20 - 29 years,Voluntary work and meetings,2:01,121
Year 2014_Monday til Friday,20 - 29 years, Organisational work ,2:02,122
Year 2014_Monday til Friday,20 - 29 years, Informal help to other households,2:37,157
Year 2014_Monday til Friday,20 - 29 years,Participatory activities,1:02,62
Year 2014_Monday til Friday,20 - 29 years,Social life and entertainment  ,1:26,86
Year 2014_Monday til Friday,20 - 29 years, Sociability,0:34,34
Year 2014_Monday til Friday,20 - 29 years, Visiting and receiving visitors,1:31,91
Year 2014_Monday til Friday,20 - 29 years, Culture,1:43,103
Year 2014_Monday til Friday,20 - 29 years, Entertainment ,2:31,151
Year 2014_Monday til Friday,20 - 29 years, Resting — Time out,0:36,36
Year 2014_Monday til Friday,20 - 29 years,Sports and outdoor activities ,1:36,96
Year 2014_Monday til Friday,20 - 29 years, Sports,1:36,96
Year 2014_Monday til Friday,20 - 29 years,Outdoor activities ,,
Year 2014_Monday til Friday,20 - 29 years,Hobbies and games,1:45,105
Year 2014_Monday til Friday,20 - 29 years, Arts,2:16,136
Year 2014_Monday til Friday,20 - 29 years, Collecting,,
Year 2014_Monday til Friday,20 - 29 years, Computing,1:31,91
Year 2014_Monday til Friday,20 - 29 years, Games,1:22,82
Year 2014_Monday til Friday,20 - 29 years,Media,2:07,127
Year 2014_Monday til Friday,20 - 29 years, Reading,0:47,47
Year 2014_Monday til Friday,20 - 29 years," TV, video and dvd",2:02,122
Year 2014_Monday til Friday,20 - 29 years," Listening to radio, music",0:44,44
Year 2014_Monday til Friday,20 - 29 years,Travel,1:43,103
Year 2014_Monday til Friday,20 - 29 years, Travel related to eating,0:33,33
Year 2014_Monday til Friday,20 - 29 years, Travel to/from work,1:11,71
Year 2014_Monday til Friday,20 - 29 years, Travel related to study,1:16,76
Year 2014_Monday til Friday,20 - 29 years, Travel related to household care,0:49,49
Year 2014_Monday til Friday,20 - 29 years, Travel related to voluntary work and meetings ,0:32,32
Year 2014_Monday til Friday,20 - 29 years, Travel related to social life,1:02,62
Year 2014_Monday til Friday,20 - 29 years, Travel related to sports,0:36,36
Year 2014_Monday til Friday,20 - 29 years, Travel related to changing locality,0:10,10
Year 2014_Monday til Friday,30 - 44 years,Personal care,10:35,635
Year 2014_Monday til Friday,30 - 44 years,Sleep,7:58,478
Year 2014_Monday til Friday,30 - 44 years,Eating,1:46,106
Year 2014_Monday til Friday,30 - 44 years,Other personal care,0:53,53
Year 2014_Monday til Friday,30 - 44 years,Employment,7:50,470
Year 2014_Monday til Friday,30 - 44 years, Main job,7:54,474
Year 2014_Monday til Friday,30 - 44 years, Job seeking,4:35,275
Year 2014_Monday til Friday,30 - 44 years, Second job,4:32,272
Year 2014_Monday til Friday,30 - 44 years,Study,2:17,137
Year 2014_Monday til Friday,30 - 44 years, School or university,4:10,250
Year 2014_Monday til Friday,30 - 44 years, Homework,2:20,140
Year 2014_Monday til Friday,30 - 44 years, Free time study,1:49,109
Year 2014_Monday til Friday,30 - 44 years,Household and family care,2:53,173
Year 2014_Monday til Friday,30 - 44 years, Food management,0:58,58
Year 2014_Monday til Friday,30 - 44 years, Household upkeep,0:54,54
Year 2014_Monday til Friday,30 - 44 years, Making and care for textiles,0:45,45
Year 2014_Monday til Friday,30 - 44 years, Gardening and pet care,0:53,53
Year 2014_Monday til Friday,30 - 44 years, Construction and repairs,1:36,96
Year 2014_Monday til Friday,30 - 44 years, Shopping and services (excluding online services),1:04,64
Year 2014_Monday til Friday,30 - 44 years, Household management (excluding online services),0:34,34
Year 2014_Monday til Friday,30 - 44 years, Childcare (less than 17 years) ,1:45,105
Year 2014_Monday til Friday,30 - 44 years, Help to an adult household member ,0:50,50
Year 2014_Monday til Friday,30 - 44 years,Voluntary work and meetings,1:44,104
Year 2014_Monday til Friday,30 - 44 years, Organisational work ,4:22,262
Year 2014_Monday til Friday,30 - 44 years, Informal help to other households,1:21,81
Year 2014_Monday til Friday,30 - 44 years,Participatory activities,0:55,55
Year 2014_Monday til Friday,30 - 44 years,Social life and entertainment  ,0:52,52
Year 2014_Monday til Friday,30 - 44 years, Sociability,0:31,31
Year 2014_Monday til Friday,30 - 44 years, Visiting and receiving visitors,1:29,89
Year 2014_Monday til Friday,30 - 44 years, Culture,2:29,149
Year 2014_Monday til Friday,30 - 44 years, Entertainment ,1:49,109
Year 2014_Monday til Friday,30 - 44 years, Resting — Time out,0:22,22
Year 2014_Monday til Friday,30 - 44 years,Sports and outdoor activities ,1:31,91
Year 2014_Monday til Friday,30 - 44 years, Sports,1:31,91
Year 2014_Monday til Friday,30 - 44 years,Outdoor activities ,2:10,130
Year 2014_Monday til Friday,30 - 44 years,Hobbies and games,1:10,70
Year 2014_Monday til Friday,30 - 44 years, Arts,0:52,52
Year 2014_Monday til Friday,30 - 44 years, Collecting,,
Year 2014_Monday til Friday,30 - 44 years, Computing,1:02,62
Year 2014_Monday til Friday,30 - 44 years, Games,1:19,79
Year 2014_Monday til Friday,30 - 44 years,Media,2:03,123
Year 2014_Monday til Friday,30 - 44 years, Reading,0:54,54
Year 2014_Monday til Friday,30 - 44 years," TV, video and dvd",1:59,119
Year 2014_Monday til Friday,30 - 44 years," Listening to radio, music",0:28,28
Year 2014_Monday til Friday,30 - 44 years,Travel,1:40,100
Year 2014_Monday til Friday,30 - 44 years, Travel related to eating,0:29,29
Year 2014_Monday til Friday,30 - 44 years, Travel to/from work,1:03,63
Year 2014_Monday til Friday,30 - 44 years, Travel related to study,0:29,29
Year 2014_Monday til Friday,30 - 44 years, Travel related to household care,0:57,57
Year 2014_Monday til Friday,30 - 44 years, Travel related to voluntary work and meetings ,0:46,46
Year 2014_Monday til Friday,30 - 44 years, Travel related to social life,0:58,58
Year 2014_Monday til Friday,30 - 44 years, Travel related to sports,0:33,33
Year 2014_Monday til Friday,30 - 44 years, Travel related to changing locality,,
Year 2014_Monday til Friday,45 - 59 years,Personal care,10:51,651
Year 2014_Monday til Friday,45 - 59 years,Sleep,8:12,492
Year 2014_Monday til Friday,45 - 59 years,Eating,1:47,107
Year 2014_Monday til Friday,45 - 59 years,Other personal care,0:55,55
Year 2014_Monday til Friday,45 - 59 years,Employment,7:31,451
Year 2014_Monday til Friday,45 - 59 years, Main job,7:37,457
Year 2014_Monday til Friday,45 - 59 years, Job seeking,1:12,72
Year 2014_Monday til Friday,45 - 59 years, Second job,4:00,240
Year 2014_Monday til Friday,45 - 59 years,Study,1:37,97
Year 2014_Monday til Friday,45 - 59 years, School or university,,
Year 2014_Monday til Friday,45 - 59 years, Homework,0:10,10
Year 2014_Monday til Friday,45 - 59 years, Free time study,1:44,104
Year 2014_Monday til Friday,45 - 59 years,Household and family care,3:23,203
Year 2014_Monday til Friday,45 - 59 years, Food management,1:12,72
Year 2014_Monday til Friday,45 - 59 years, Household upkeep,1:13,73
Year 2014_Monday til Friday,45 - 59 years, Making and care for textiles,1:09,69
Year 2014_Monday til Friday,45 - 59 years, Gardening and pet care,1:18,78
Year 2014_Monday til Friday,45 - 59 years, Construction and repairs,1:20,80
Year 2014_Monday til Friday,45 - 59 years, Shopping and services (excluding online services),1:09,69
Year 2014_Monday til Friday,45 - 59 years, Household management (excluding online services),0:48,48
Year 2014_Monday til Friday,45 - 59 years, Childcare (less than 17 years) ,1:15,75
Year 2014_Monday til Friday,45 - 59 years, Help to an adult household member ,1:31,91
Year 2014_Monday til Friday,45 - 59 years,Voluntary work and meetings,2:11,131
Year 2014_Monday til Friday,45 - 59 years, Organisational work ,1:58,118
Year 2014_Monday til Friday,45 - 59 years, Informal help to other households,1:37,97
Year 2014_Monday til Friday,45 - 59 years,Participatory activities,2:51,171
Year 2014_Monday til Friday,45 - 59 years,Social life and entertainment  ,1:10,70
Year 2014_Monday til Friday,45 - 59 years, Sociability,0:44,44
Year 2014_Monday til Friday,45 - 59 years, Visiting and receiving visitors,1:14,74
Year 2014_Monday til Friday,45 - 59 years, Culture,2:06,126
Year 2014_Monday til Friday,45 - 59 years, Entertainment ,1:35,95
Year 2014_Monday til Friday,45 - 59 years, Resting — Time out,0:33,33
Year 2014_Monday til Friday,45 - 59 years,Sports and outdoor activities ,1:30,90
Year 2014_Monday til Friday,45 - 59 years, Sports,1:30,90
Year 2014_Monday til Friday,45 - 59 years,Outdoor activities ,1:41,101
Year 2014_Monday til Friday,45 - 59 years,Hobbies and games,1:09,69
Year 2014_Monday til Friday,45 - 59 years, Arts,1:16,76
Year 2014_Monday til Friday,45 - 59 years, Collecting,0:50,50
Year 2014_Monday til Friday,45 - 59 years, Computing,1:05,65
Year 2014_Monday til Friday,45 - 59 years, Games,0:41,41
Year 2014_Monday til Friday,45 - 59 years,Media,2:28,148
Year 2014_Monday til Friday,45 - 59 years, Reading,0:54,54
Year 2014_Monday til Friday,45 - 59 years," TV, video and dvd",2:17,137
Year 2014_Monday til Friday,45 - 59 years," Listening to radio, music",0:26,26
Year 2014_Monday til Friday,45 - 59 years,Travel,1:39,99
Year 2014_Monday til Friday,45 - 59 years, Travel related to eating,0:28,28
Year 2014_Monday til Friday,45 - 59 years, Travel to/from work,1:05,65
Year 2014_Monday til Friday,45 - 59 years, Travel related to study,0:59,59
Year 2014_Monday til Friday,45 - 59 years, Travel related to household care,0:57,57
Year 2014_Monday til Friday,45 - 59 years, Travel related to voluntary work and meetings ,0:47,47
Year 2014_Monday til Friday,45 - 59 years, Travel related to social life,0:56,56
Year 2014_Monday til Friday,45 - 59 years, Travel related to sports,0:33,33
Year 2014_Monday til Friday,45 - 59 years, Travel related to changing locality,0:30,30
Year 2014_Monday til Friday,60 - 74 years,Personal care,11:50,710
Year 2014_Monday til Friday,60 - 74 years,Sleep,8:45,525
Year 2014_Monday til Friday,60 - 74 years,Eating,2:03,123
Year 2014_Monday til Friday,60 - 74 years,Other personal care,1:03,63
Year 2014_Monday til Friday,60 - 74 years,Employment,5:38,338
Year 2014_Monday til Friday,60 - 74 years, Main job,6:12,372
Year 2014_Monday til Friday,60 - 74 years, Job seeking,,
Year 2014_Monday til Friday,60 - 74 years, Second job,3:34,214
Year 2014_Monday til Friday,60 - 74 years,Study,1:55,115
Year 2014_Monday til Friday,60 - 74 years, School or university,,
Year 2014_Monday til Friday,60 - 74 years, Homework,,
Year 2014_Monday til Friday,60 - 74 years, Free time study,1:55,115
Year 2014_Monday til Friday,60 - 74 years,Household and family care,4:06,246
Year 2014_Monday til Friday,60 - 74 years, Food management,1:19,79
Year 2014_Monday til Friday,60 - 74 years, Household upkeep,1:14,74
Year 2014_Monday til Friday,60 - 74 years, Making and care for textiles,1:09,69
Year 2014_Monday til Friday,60 - 74 years, Gardening and pet care,1:38,98
Year 2014_Monday til Friday,60 - 74 years, Construction and repairs,1:50,110
Year 2014_Monday til Friday,60 - 74 years, Shopping and services (excluding online services),1:13,73
Year 2014_Monday til Friday,60 - 74 years, Household management (excluding online services),0:50,50
Year 2014_Monday til Friday,60 - 74 years, Childcare (less than 17 years) ,2:23,143
Year 2014_Monday til Friday,60 - 74 years, Help to an adult household member ,1:43,103
Year 2014_Monday til Friday,60 - 74 years,Voluntary work and meetings,2:46,166
Year 2014_Monday til Friday,60 - 74 years, Organisational work ,2:37,157
Year 2014_Monday til Friday,60 - 74 years, Informal help to other households,2:33,153
Year 2014_Monday til Friday,60 - 74 years,Participatory activities,1:52,112
Year 2014_Monday til Friday,60 - 74 years,Social life and entertainment  ,1:13,73
Year 2014_Monday til Friday,60 - 74 years, Sociability,0:42,42
Year 2014_Monday til Friday,60 - 74 years, Visiting and receiving visitors,1:02,62
Year 2014_Monday til Friday,60 - 74 years, Culture,2:19,139
Year 2014_Monday til Friday,60 - 74 years, Entertainment ,1:14,74
Year 2014_Monday til Friday,60 - 74 years, Resting — Time out,0:31,31
Year 2014_Monday til Friday,60 - 74 years,Sports and outdoor activities ,1:57,117
Year 2014_Monday til Friday,60 - 74 years, Sports,1:47,107
Year 2014_Monday til Friday,60 - 74 years,Outdoor activities ,4:47,287
Year 2014_Monday til Friday,60 - 74 years,Hobbies and games,1:40,100
Year 2014_Monday til Friday,60 - 74 years, Arts,1:58,118
Year 2014_Monday til Friday,60 - 74 years, Collecting,,
Year 2014_Monday til Friday,60 - 74 years, Computing,1:34,94
Year 2014_Monday til Friday,60 - 74 years, Games,1:10,70
Year 2014_Monday til Friday,60 - 74 years,Media,3:47,227
Year 2014_Monday til Friday,60 - 74 years, Reading,1:03,63
Year 2014_Monday til Friday,60 - 74 years," TV, video and dvd",3:06,186
Year 2014_Monday til Friday,60 - 74 years," Listening to radio, music",0:28,28
Year 2014_Monday til Friday,60 - 74 years,Travel,1:28,88
Year 2014_Monday til Friday,60 - 74 years, Travel related to eating,0:36,36
Year 2014_Monday til Friday,60 - 74 years, Travel to/from work,1:18,78
Year 2014_Monday til Friday,60 - 74 years, Travel related to study,1:29,89
Year 2014_Monday til Friday,60 - 74 years, Travel related to household care,0:57,57
Year 2014_Monday til Friday,60 - 74 years, Travel related to voluntary work and meetings ,0:56,56
Year 2014_Monday til Friday,60 - 74 years, Travel related to social life,0:55,55
Year 2014_Monday til Friday,60 - 74 years, Travel related to sports,0:36,36
